"","chaccu","orientation","corral.shape","corral.width","notes","east","north","length","elev.m"
"1",1,120,"round",4,NA,443714,8115166,84,4719
"2",2,170,"round",12.285,NA,383036,8134666,50,4656
"3",3,0,"round",17.538,NA,387969,8125720,56,4639
"4",4,180,"round",36.817,NA,386135,8121229,84,4942
"5",5,180,"round",45.389,NA,387378,8111292,106,4770
"6",6,280,"round",23.497,NA,386813,8106183,79,4623
"7",7,210,"square",138.339,NA,482229,7861118,638,4069
"8",8,45,"round",3.04,NA,398600,8144029,72,4646
"9",9,315,"round",3.188,NA,408785,8133966,72,4633
"10",10,45,"round",3.228,NA,407829,8128530,68,4646
"11",11,160,"round",5.713,NA,406540,8128796,60,4748
"12",12,15,"round",1.986,"Hooks at the end of the branches",407139,8126313,64,4713
"13",13,90,"round",2.528,NA,405946,8122062,79,4627
"14",14,45,"round",3.405,NA,416031,8135056,53,4373
"15",15,45,"round",4.829,NA,416967,8134666,60,4599
"16",16,90,"round",3.208,NA,417062,8134342,56,4703
"17",17,70,"round",8.09,NA,419609,8134282,63,4480
"18",18,330,"square",3.031,NA,419550,8131658,64,4595
"19",19,15,"round",3.427,NA,421597,8131962,48,4260
"20",20,45,"round",4.525,"Missing a Branch",418412,8130186,45,4725
"21",21,170,"round",3.183,NA,416668,8127431,85,4289
"22",22,45,"round",6.73,NA,419929,8123848,74,4627
"23",23,315,"round",2.985,"Corral not well defined",423859,8124623,58,4223
"24",24,190,"square",3.992,NA,421616,8120649,60,4660
"25",25,315,"round",2.755,"Corral not well defined",418079,8111530,74,4598
"26",26,150,"round",4.592,NA,404429,8111578,63,4697
"27",27,270,"round",5.061,NA,337875,8134321,41,4556
"28",28,255,"round",2.224,NA,396351,8085787,63,4696
"29",29,135,"round",1.954,NA,399474,8085551,152,4659
"30",30,160,"round",8.862,NA,400372,8085109,113,4703
"31",31,160,"round",2.498,NA,400480,8084978,74,4703
"32",32,200,"round",1.977,"",395256,8083885,84,4574
